height_ft,height_cm,JS,JR,OD,HA,DR,PA,IS,ID,RB,SB
slope_per_step,,0,-0.05,-0.05,-0.05,0,0,0.05,0.05,0.05,0.05
5'9“,175,0.9975273768433653,1.5,1.5,1.5,0.9975273768433653,0.9975273768433653,0.5,0.5,0.5,0.5
5'10“,178,0.9975273768433653,1.45,1.45,1.45,0.9975273768433653,0.9975273768433653,0.55,0.55,0.55,0.55
5'11“,180,0.9975273768433653,1.4,1.4,1.4,0.9975273768433653,0.9975273768433653,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001
6'0“,183,0.9975273768433653,1.3499999999999999,1.3499999999999999,1.3499999999999999,0.9975273768433653,0.9975273768433653,0.6500000000000001,0.6500000000000001,0.6500000000000001,0.6500000000000001
6'1“,185,0.9975273768433653,1.2999999999999998,1.2999999999999998,1.2999999999999998,0.9975273768433653,0.9975273768433653,0.7000000000000002,0.7000000000000002,0.7000000000000002,0.7000000000000002
6'2“,188,0.9975273768433653,1.2499999999999998,1.2499999999999998,1.2499999999999998,0.9975273768433653,0.9975273768433653,0.7500000000000002,0.7500000000000002,0.7500000000000002,0.7500000000000002
6'3“,190,0.9975273768433653,1.1999999999999997,1.1999999999999997,1.1999999999999997,0.9975273768433653,0.9975273768433653,0.8000000000000003,0.8000000000000003,0.8000000000000003,0.8000000000000003
6'4“,193,0.9975273768433653,1.1499999999999997,1.1499999999999997,1.1499999999999997,0.9975273768433653,0.9975273768433653,0.8500000000000003,0.8500000000000003,0.8500000000000003,0.8500000000000003
6'5“,196,0.9975273768433653,1.0999999999999996,1.0999999999999996,1.0999999999999996,0.9975273768433653,0.9975273768433653,0.9000000000000004,0.9000000000000004,0.9000000000000004,0.9000000000000004
6'6“,198,0.9975273768433653,1.0499999999999996,1.0499999999999996,1.0499999999999996,0.9975273768433653,0.9975273768433653,0.9500000000000004,0.9500000000000004,0.9500000000000004,0.9500000000000004
6'7“,201,0.9975273768433653,0.9999999999999996,0.9999999999999996,0.9999999999999996,0.9975273768433653,0.9975273768433653,1.0000000000000004,1.0000000000000004,1.0000000000000004,1.0000000000000004
6'8“,203,0.9975273768433653,0.9499999999999995,0.9499999999999995,0.9499999999999995,0.9975273768433653,0.9975273768433653,1.0500000000000005,1.0500000000000005,1.0500000000000005,1.0500000000000005
6'9“,206,0.9975273768433653,0.8999999999999995,0.8999999999999995,0.8999999999999995,0.9975273768433653,0.9975273768433653,1.1000000000000005,1.1000000000000005,1.1000000000000005,1.1000000000000005
6'10“,208,0.9975273768433653,0.8499999999999994,0.8499999999999994,0.8499999999999994,0.9975273768433653,0.9975273768433653,1.1500000000000006,1.1500000000000006,1.1500000000000006,1.1500000000000006
6'11“,211,0.9975273768433653,0.7999999999999994,0.7999999999999994,0.7999999999999994,0.9975273768433653,0.9975273768433653,1.2000000000000006,1.2000000000000006,1.2000000000000006,1.2000000000000006
7'0“,213,0.9975273768433653,0.7499999999999993,0.7499999999999993,0.7499999999999993,0.9975273768433653,0.9975273768433653,1.2500000000000007,1.2500000000000007,1.2500000000000007,1.2500000000000007
7'1“,216,0.9975273768433653,0.6999999999999993,0.6999999999999993,0.6999999999999993,0.9975273768433653,0.9975273768433653,1.3000000000000007,1.3000000000000007,1.3000000000000007,1.3000000000000007
7'2“,218,0.9975273768433653,0.6499999999999992,0.6499999999999992,0.6499999999999992,0.9975273768433653,0.9975273768433653,1.3500000000000008,1.3500000000000008,1.3500000000000008,1.3500000000000008
7'3“,221,0.9975273768433653,0.5999999999999992,0.5999999999999992,0.5999999999999992,0.9975273768433653,0.9975273768433653,1.4000000000000008,1.4000000000000008,1.4000000000000008,1.4000000000000008
7'4“,224,0.9975273768433653,0.5499999999999992,0.5499999999999992,0.5499999999999992,0.9975273768433653,0.9975273768433653,1.4500000000000008,1.4500000000000008,1.4500000000000008,1.4500000000000008
7'5“,226,0.9975273768433653,0.49999999999999917,0.49999999999999917,0.49999999999999917,0.9975273768433653,0.9975273768433653,1.5000000000000009,1.5000000000000009,1.5000000000000009,1.5000000000000009
7'6“,229,0.9975273768433653,0.4499999999999992,0.4499999999999992,0.4499999999999992,0.9975273768433653,0.9975273768433653,1.550000000000001,1.550000000000001,1.550000000000001,1.550000000000001
